content,score,sentiment
Tolong diperbaiki untuk posting status di hp android kok hasil foto/video statusnya jadi pecah/ kualitas gambarnya jelek,3,Netral
Apk gajelas apk bikin asing,1,Negatif
Bnyk bug asu,1,Negatif
Kenapa kok tiba2 ke spam wa saya??,3,Netral
Setelah pembaharuan tidak ada info waktu di story kontak.. Parah benar,1,Negatif
"Untuk pihak WhatsApp yang tidak saya hormati sama sekali, kalau pihak kalian tidak bisa membuat WhatsApp resmi menjadi lebih baik dan tidak bisa mengembangkan fitur fiturnya. Setidaknya kalian jangan banned para pengguna WhatsApp Mod. Karena kami nyaman menggunakan WhatsApp Mod, dengan beribu-ribu fitur gratis yang TIDAK BISA KAMI DAPATKAN DI APLIKASI WHATSAPP RESMI KALIAN. Alasannya kalian membanned Aplikasi WhatsApp Mod, karena KALIAN TAKUT TERSAINGI DAN TAKUT WHATSAPP RESMI TIDAK LAKU.BETUL ?",1,Negatif
"Semakin kesini semakin canggih desain tapi buruk sekali di bagian telfon/message,sering terjadi lag saat telfon/vc,kadang juga wa paksa berhenti padahal hp support,buka semua aplikasi lancar semua tapi kalo wa pasti lag tolong development nya dong..",1,Negatif
TikTodPedia sekarang pelit gak kayak dulu,1,Negatif
Parah! Beli paket data ga masuk-masuk. Status masih aja diproses!!!!! Biasanya cepet ini malah lemot!!!!!,1,Negatif
"kurir lelet komplain ke tokped care juga lelet,samapi sekarang hampir 1 bulan paket saya gak sampe2",2,Negatif
Mengecewakan banget,1,Negatif
"Update aplikasi mulai dari versi ini,Klo search ke mana-mana tidak akurat. Saya coba search Keyword nya ""killbus"",malah Muncul barang yang tidak saya cari. Barang itu sebenarnya ada. Tapi tidak muncul. Dan itu satu-satunya. Sedangkan barang yang dicari sebenarnya ada. Apa gunanya pakai aplikasi tapi tidak akurat??? Tim developernya gimana nih? Tim Programmer kerja pas deadline yak? Padahal cuma copas-copas doang dari project sebelumnya/org, AI, web open source. Masih aja nub.",1,Negatif
"Selalu dapet ekspedisi yg tidak recomended, dulu sering,e dpt ekspedisi ST juga lambat, eee ini ganti JE malah sama aja lebih parah, apalagi yg ekspedisi area solo tambah parah",3,Netral
"Dalam 1 bulan ini, ada 1 paket yg tidak sampai dan 1 paket telat serta reseller nya tidak sat set !!!",1,Negatif
Proses retur yang berbelit,1,Negatif
"JNE dan ID EXPRESS, ini kurir rekomendasi dari aplikasi ini dan mereka oper2an gitu pengirimannya, HATI-HATI , di aplikasi ini kalian nggak bisa ganti ekspedisi , paket saya 1 minggu lebih belum sampe , pake apk sebelah aja biar kalian jelas dapet RESInya karna cuma pake 1 ekspedisi sampe slesai, tau mau ke ekspedisi mana ketika buru2 ambil atau komplain, dan CS apk ini pake AUTO-REPLY percumah , nggak bakal nylesaiin cepet masalah di pesanan kalian , HATI-HATI 👌🏻",1,Negatif
"Habis update terakhir fitur filternya di pencarian jadi ga beres, masa cari produk terbaru muncul nya produk yg lama",3,Netral
"Bug mulu min, susah masuk ke Tokopedia, bagusan yang dulu",1,Negatif
"Paling males kalo belanja di tokped tuh sama expedisi yg ga jelas, pengiriman lama, update terkini tidak jelas paket sudah sampai mana. Beda sama shopee, yg kalau paket telat datang kita dapet kompensasi dan jika ada kendala cepat penanganannya",1,Negatif
Kok ngk bisa komplain yg di toko rekanan Tokopedia ngk bisa komen dan penilaian. Di toko hp om unyet. Segel nya sengaja di buat plastik tipis. Sehingga barang nyampe segel lepas. Apa udah kongkalikong. Tokopedia dengan om unyet nya. Ngeri klu gitu ngk berani lah belanja di Tokopedia klu triknya kaya gini,1,Negatif
"Paling seneng belanja di tokped,discont voucher nya selalu banyak,itu dulu, sekarang pindah ke kompetitor sampe sekarang udah member platinum.",1,Negatif
"Awalnya suka sama tokped karena barang nya selalu berkualiatas,tpi makin kesini kok banyak saller murahan barang asal kirim udah kayak toko sebelah tokped sekarang!Maaf gw uninstal",2,Negatif
Saldo refunds gak kemabli di gopay sukses tapi di saldo gak rubah masih saldo saya yang habis transsaksi ngentod2 aplikasi busuk lama2,1,Negatif
Paket satu doang lama banget kirimnya 😠,1,Negatif
Kecewa karena overload estimasi di undur seminggu kebelakang.... Seharusnya seminggu sebelum libur besar atau libur hari raya mending aplikasi Tokopedia.. . Tutup Biar kami pembeli bisa beli offline Dari pada menunggu estimasi yang jelas dari awal tapi faktanya molor kebelakang Huuuu,3,Netral
"Tokopedia juara dalam hal lambat pengiriman ,dari tangerang ke bandung bisa 4 hari ongkir jg bayar.dari tangerang pesanan ke jakarta dari lalu ke karawang lanjut bandung kota baru sampe bandung babakan ciparay tempat tujuan sudah sore alhasil kirim paginya lagi.belajar dulu dalam hal pengiriman ke LAZADA supaya pelanggan puas dengan pelayanan nya....parah tokopedia lambat lelet sekali.sudah beberapa kali belanja di di tokopedia tidak memuaskan terutama dalam pengiriman barang.👎👎👎👎",1,Negatif
Iklan nya ngeselin aku bocil,1,Negatif
"Tolonglah kenapa sistem pencarian nya jadi ngaco gini, yang dicari gak ada padahal pas diubek ubek ada. Kadang setelah barang ketemu mau di short malah barang yang tadi ilang. Balikinlah sistem pencarian kek dulu",1,Negatif
"Saya beli smartwatch d bawa lari pihak kurir, sudah saya urus ke pihak tokopedia sejak tanggal 10 Maret SAMPAI SKRG 28 APRIL UANG SAYA BELUM DI KEMBALIKAN!!!",1,Negatif
Jujur Tokopedia sangat bagus namun sayang nya sistim COD tidak tersedia menurut saya jika sistim COD tersediah makah Tokopedia pilihanku 🙏,1,Negatif
"setelah update kok malah gak bisa nge ""favorit"" barang / nyimpen ke koleksi...katanya ""oops barang gagal di simpan di kolekai,silahkan coba lagi""🤦‍♂️🤦‍♂️",2,Negatif
"Sangat kecewa dengan tokopedia menonaktifkan akun orang tanpa kejelasan hanya point""nya aja yg diberikan tapi bukan kejelasan pelanggaran apa yg dibuat. Saya pengguna tokopedia sudah lama dan pada saat ini saya sangat kecewa untuk tindakan tokopedia yang semena"" Menutup akun saya secara permanent, sudah Dm Twitter dan email Pusat bantuan tapi responnya begitu aja tidak menyelesaikan masalah. KECEWA !!!",1,Negatif
"Udah lama pake topet, tapi sekarang tambah ribet, gak ada COD. di layanan gratis ongkir. Dan juga kurir rekomendasinya lelet. Alias lama pengirimanya, sejarang saya udah beralih ke toko oranye, lebih gampang dan cepat sampai.",1,Negatif
Bagus,1,Negatif
Apk haram gangutak ungkirnya,1,Negatif
Akhir akhir ini pengiriman lama pesanan sudah seminggu tidak sampai juga padahal pakai kurir rekomendasi,1,Negatif
"Jelek bgt gopaylater nya padahal gapernah bayar telat , selalu bayar tepat waktu bahkan sebelum jatuh tempo tapi knpa pas pengajuan lagi gabisa pengajuan di tolak, mending gaush bikin gopaypinjam kalau gabisa meminjam!!!!",1,Negatif
"Sistim komplain nya baik sebagai pedagang atau pembeli menurut saya, sangat sangat jelek sekali",1,Negatif
"Pengiriman sering di pindah"" in dan barang hilang .Customer Servicenya Super""""""""""""lama banget responnya.Serta Solusinya lama & gak selesai"" hampir 1 bulan . Kecewa banget sama Tokopedia sekarang",1,Negatif
"Aplikasinya bagus, saya kasih ranking 1 buat toped, ditambah kurirnya selalu pake JNE yg super super lemot, lengkap deh parahnya Update 28-04-2024 2paket dengan resi dan ekspedisi yg berbeda nyampenya lama banget, dah gitu resi stuck ga bergerak sama sekali.. Toko sebelah pesen belakangan malah sedang diantar oleh kurir. Tokped koq makin bagus aja semakin kesini.",1,Negatif
Lawak nih aplikasi mentang mentang udah kerja sama dengan tiktok harga barang membludag setinggi langit,2,Negatif
Sangat tidak merekomendasikan aplikasi ini untuk berjualan karena proses pencairan saldo nya rumit sekali,1,Negatif
"Min, tolong jaringannya agak di ringankan, saya mau uploud video gagal terus, sama pencarian follower di program affiliate di permudah lagi min, masak udah gabung affiliate sekitar 1 bulanan nggak ada yg ngefollow...",3,Netral
Tokped gimana sih? Mo ngubah nomor hp ngga berhasil. Padahal nomor kode yg diminta bener,3,Netral
Keat su asuuu,1,Negatif
"Gimana sih ini tokped pengguna baru dipersulit juga ya?, Harga barang 20.000 tapi karna ga dikasih voucher diskon untuk pengguna baru harga barang jadi 40.000 an gila tuh ga kayak shopee pengguna baru langsung dikasih voucher gratis ongkir yang ngebuat barangnya jadi murah",1,Negatif
Tokopedia skrg dipersulit,1,Negatif
"Kapok pke apk 1 ini lebih baik pakai shopee atau agak mendingan lazada. Pengiriman nya nauzubillah lama poll sedangkan shopee, lazada 1,2,3 hari udh sampai",1,Negatif
"Saya udah belanja banyak pakai voucher dapat coin 132 ribu di satu toko, tpi koin tidak keluar, tokopedia kok gini amat ya",1,Negatif
Entah kenapa kalo belanja di sini pengiriman lebih lama dibanding onlinemarketplace sebelah,1,Negatif
Mengapa langganan Plus cuma ada di pulau jawa?? Diskriminasi bangettt. Trus pulau sumatera ngk masuk hitungan gitu??,1,Negatif
"Ribet, pengiriman lama, barang belum diterima di pemberitahuan sudah diterima. Zonk besar",1,Negatif
Refundnya lama,1,Negatif
"Kntl memang, pesen tanggal 14 sampe sekarang tanggal 27 belom nyampe, estimasi tiba molor mulu udah nunggu 2 minggu masih disuruh nunggu lagi 1 minggu, tlol tlol, bantuan tokopedia care ga guna lagi parah banget, gada bantuan yang jelas",3,Netral
"MAKIN LAMA MAKIN ANCUUR LAYANAN APLIKASI INI..!!! -PAKET MOLOR Sampe 7'HARI GA JELAS Tp KONSUMEN GA BERHAK MENOLAK -PENYELESAIAN MASALAH'Nya RIBET -KURIR REKOMENDASI'NYA KURIR'2 ABAL'2 Yg PENGIRIMANNYA Banyak MOLOR&TROUBLE&Lagi'2 KONSUMEN Yg Jd KORBAN SURUH TUNGGU&WAJIB TERIMA -KLAIM ASURANSI BARANG HILANG BUTUH WAKTU BER'MINGGU'2 -ADA PROMO GRATIS ONGKIR Tp KADANG GA"" BISA DI'Pake.. **Pokok'Nya SEMAKIN BURUK Aja LAYANAN TOKOPEDIA..!!! 👎👎👎",1,Negatif
"Tolong deh sapx dihapus aja.. 22jan order.. oke lah kalo kemaleman, baru kirim 23jan. 26 baru nyampe. Padahal SESAMA SURABAYA. Minimal di ulasan, kasih opsi lah untuk kasih nilai pengiriman. Biar toko gak kita kasih rating jelek padahal salah dr kurir Edit 27apr24 : id express hapus aja deh. Di shopee dah kapok².. tokopedia malah pake id express. Ada org di rumah, pake dilempar. Kubela²in langganan plus. Yg didapat malah pengiriman makin lelet parah!!! DAN SKRG TIDAK BISA BUKA PROFIL TOKO",1,Negatif
"Fitur searchnya makin kocak, lemooot benerrrr padahal wifi 100mbps😵‍💫",1,Negatif
"Kasih 3 dulu,, jika bagus buat 5.😊",3,Netral
"BALIKIN SISTEM SEARCH BARANG YG LAMA TOLOL, GW MAU NYARI BARANG SPESIFIK ANJIR. LEBIH BAIK PAKAI SEARCH WORD YG SPESIFIK LEBIH DAHUL GAK KAYA SEKARANG TOLOL ANJ NYEBELIN WOYYYY",1,Negatif
Tambah tolol aja ini IT nya ... Ga becus bikin aplikasi !!!!!,1,Negatif
pemilihan pembayaran ga bisa di akses .. jadi ga bisa pilih pembayaran . tolong di perbaiki,3,Netral
"Suka belanja disini tapi sayang reputasinya ancur sendiri gara gara kerja sama dengan expedisi yang lelet semua padahal udah di kota tujuan mending bayar bisa pilih expedisi, kalau gak niat kasih gratis ongkir gak usah kasih",1,Negatif
Ga ada gratis ongkirnya 🙂,3,Netral
"Tokopedia skr parah pengirimannya lama banget , pengiriman suka stuck ajah, kalau gak barangnya dibawa muter2 ga tau kemana, kalau di komplain jawabannya hanya suruh lacak ajah",1,Negatif
"Sepertinya saya akan balik lagi ke ecommerce sebelah dimana pengiriman lebih cepat, dibandingkan tokped yg pengiriman beda 1-2 kota saja bisa sampai 2 minggu lebih karna tiba"" ada otomatis penambahan estimasi. Dulu di ecommerce sebelah bahkan yg nyebrang 3 pulau bisa sampe hanya dalam 2-3 hari aja",1,Negatif
Makin kesini makin aneh,1,Negatif
"Update Mulu,, gila nih, udah bikin rugi pembeli... Lama lama makin parah.... Toko merugikan. Tidak bisa dipercaya. Pengalaman pahit blnja disini, TOKOPEDIA CARE nya tidak berguna sama sekali.",1,Negatif
Ini ada bug di kolom pencarian dari dulu blm di perbaiki,1,Negatif
Banyak bug..,1,Negatif
"Performa layanan kurir yang sangat buruk, kurir pilihan tokopedia (kurir tokopedia)",1,Negatif
Selamat malam semuanya ijin review jelek terkait dana refund saya yang belum juga selesai.. Saya minta tanggung jawab nyah sudah hampir 1 bulan ini..,1,Negatif
Pengiriman nya selalu lama kalo pake jasa kirim rekomendasi tokopedia,1,Negatif
"pake' Kurir Rekomendasi parah telat nya lebih dari 3 hari dari estimasi, sampe' sekarang belum juga dikirim. aplikasi Lazzzad pake' kurir Leks cepet banget. gratis ongkir pula. pake' Tokopedia karena buatan Lokal, malah kya gini.",2,Negatif
Pengiriman lemot sangat tidak nyaman. Sekaliiiiiiii!!!,1,Negatif
Pelayanan buruk,1,Negatif
"Sangat disayangkan e-commerce sekelas tokopedia menggunakan jasa pengiriman yang sangat lambat. Lebih baik tokopedia ganti kerjasama mitra pengirimannya menggunakan J&T. Pengiriman pake JNE Reguler di Tokopedia bisa sampe 5-7 hari. Setelah vacum beberapa tahun gak pake tokopedia, dan mulai belanja lagi di tokopedia, ternyata kecewa karena pengiriman yang sangat lama. Setelah ini, saya pastikan tidak belanja di tokopedia lagi.",1,Negatif
"Transaksi pertama langsung gagal. Dicoba 3x tetep gagal, dana kembali tapi jadi saldo tokped. Mana hanya bisa dipake utk belanja di tokped, mau belanja tp transaksi selalu dibatalkan oleh sistem. Aplikasi ini sangat ga rekomendasi, seribu kali lebih mending toko oren.",1,Negatif
"Kenapa harus ada fitur terima otomatis, sedangkan paket belum ditangan sepenuhnya, dan kenapa di kolom chat tidak bisa kirim vidio sebagai bukti komplain ke penjual, aplikasi merugikan",1,Negatif
"SAPX kurir darksystem, lama bgt barang ga sampe sampe, biasanya JKT - BDG 2 hari paling lambat 3 hari ini sampe 7 hari masih belum sampe",1,Negatif
Kebanyakan iklan 👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽👎🏽,1,Negatif
Pemngemvalian dana terlalu berbelit belit dan tidak kunjung selesai. Padahal yg membatalkan sistem tokopedia.,1,Negatif
Parah ini sumpah. Beli barang bayar tunai. Barang g sampai katanya bakal diganti asuransi. Pihak penjual uang sudah kembali pihak saya pembali audah sebulan lebih g juga kembali. Malah transaksi katanya sudah selesai. Kacaunya lagi ini aplikasi gak punya fitur untuk melaporkan masalah lagi. Sumpah gak pernah sekecewa ini belanja di e-commerce selain aplikasi ini. Berharap dapat barang bagus di sini kalau ujungnya seperti ini. Ud cukup lah. Uninstall aj ni aplikasi,1,Negatif
"sistemnya ga jelas, karena kesalahan penjual, masa pembeli juga ikut nanggung kerugiannya, ongkir senilai 400rb lebih ga balik2, dtanyakan ke CS katanya sendang proses, proses kuk bs 10 hari lebih ga ada kejelasan",1,Negatif
"Sekarang parah banget ya, dagang ditokopedia saldo hasil penjualan sudah 2 hari ditahan. Kita modal harus muter, ini malah ditahan wkwk. Kapok dagang ditokopedia.",1,Negatif
sejujurnya belanja disini menyenangkan tapi semua berubah setelah kita membeli barang yg ternyata kemasan nya rusak atau ada kerusakan pada barang. proses komplen nya lama berbelit-belit merugikan customer,1,Negatif
Bayarin noh hak2 orang yg lu telen sendiri bngsd!,1,Negatif
"HATI² UNTUK SEMUA PENARIKAN SALDO SANGAT AMAT RUMIT BELIBET SEKALI, DAN SANGAT AMAT BERTELE² TIDAK WORTH IT, CS SUDAH SAYA CHAT TIDAK MEMBALAS, BUKANNYA SEMAKIN MEMUDAHKAN USER MALAH TAMBAH MENYULITKAN. JAUH SEKALI PELAYANANNYA DENGAN SHOPEE",1,Negatif
ribet ah,1,Negatif
"Dulu saya sangat suka belanja di sini tapi makin lama tokopedia makin kurang dalam pelayanannya ,mau chat cs aja susah",1,Negatif
Setip pake cashback kebatal sistem mulu,1,Negatif
Pengiriman kurir rekomendasi sangat lama 10 hari belum sampai juga barang saya,1,Negatif
"Kurirnya semakin kesini semakin gak bener , tolong di seleksi kurir yg gak mendukung .",1,Negatif
"Mending Tokopedia gak usah lagi pake kurir sicepat, saya udah belanja di Tokopedia puluhan juta, bahkan jadi member platinum, paket gak dateng2 pake kurir sicepat...harusnya ganti nama aja dari siCepat jadi siLambat..",1,Negatif
Jangan belanja di sini pengiriman sangat lama beda jauh sama apk sebelah,1,Negatif
"Klaim barang hilang udah setahunan, jawaban selalu bilang lagi BAP. Sampai tua !!!!???? Tidak ada solusi nya.",1,Negatif
Moonton oon masa gw main kalah mulu gak solo gak party kalah ngasih tim yang bener dong,2,Negatif
"D kasih tim yang power nya gak seimbang mulu kalo mau naik tingkatkan di rank, dari sistem gak jelas setiap mau naik rank di kasi kalah mulu setiap win streak 5 kali kalah nya 10 kali lebih",1,Negatif
Main solo rank skrg ga lgi nyaman kyk dlu skrg rata2 dikasih pemain bot yg bisanya cuma feeder,1,Negatif
"Adain event skin epic 100 DM kayak di advance server, nanti bintang nya dinaikin.",1,Negatif
Jangan main game ini saya main 6 jam nonstop bukan nambah bintang malah ngurang,1,Negatif
"hapuskan sistem trio ketemu dengan solo solo, tekadang trio tim saya malah dapat poin perunggu!",1,Negatif
saya selalu nemu tim tolol Saya harap monton memperbaiki dan saya harap monton menghilangkan cheat,2,Negatif
Dark sistem,1,Negatif
Nonton taii masak epik masok room mitik,1,Negatif
report banyak disalah gunakan ama yg mabar bertiga system bobrok payah .,1,Negatif
Pelayanan pelanggan tidak berguna.sudah jelas 1 tim player bermain buruk aku report tidak ditindak. Jika aku bermain buruk karena sinyal buruk tetapi aku masih berusaha bermain di report tim aku kena report,1,Negatif
Mending uninstal aja gak usah mainin game stres kyk gini habisin waktu percuma gak sesuai dapat timnya,1,Negatif
Lumayan meski msh ada bug nya,3,Netral
"Apalah Moonton Tiba Tiba Frame Padahal Jaringan Bagus Penyimpanan Masih Kosong Tapi Kenapa Frame,Dan Kenapa Ngasih Tim Yang Bot Sedangkan Musuhnya Pada Jago Masa Gw Nge Stack Di Bintang 70-75 Mah Tolong Lah Moonton",2,Negatif
dark sistem mulu capee menang cuman sekali,1,Negatif
Moonton Anj Dark system kntoll,1,Negatif
top up diamond masa gak masuk udah 2 hari. pdhl top up lewat dalem aplikasi. mobile legend.,1,Negatif
Gamenya seru tapi sinyalnya di optimalkan lagi!!,2,Negatif
akun gua di ilangin kntl,2,Negatif
"Game bikin emosii , masa turun naik terus sihh , cape tau main nya , kalu random pasti dapat temann loll , musuh nya ga ada otakk",2,Negatif
Ku kasih kau bintang 1 bujang ya,1,Negatif
"kalo ngasih tim yg benar tol masak legend di campur epic,legend serasa mytic imortal",1,Negatif
"Game tidak bermutu, Setiap update Backsound Betle diganti ganti mulu, gatel bgt keliatanya klo ga diganti-ganti, padahal backsound lobby, drafpik, dan betle di Season 14 enak banget, yg harus diralat mobile legend balikin semua apa yg saya katakan! Karena itu adalah identitas MLBB, ketimbang musik2 skrng",1,Negatif
Game membutuhkan handphone dengan RAM yg besar,3,Netral
"Bener dikit kalo ngasih tim, masa lose strek sama 15 kali?",1,Negatif
Dark sistem perbaiki su,1,Negatif
Plis moonton kenapa sering keluar lagi pas lagi matching sehingga afk. Aku udah coba relog tapi ga bisa masuk,1,Negatif
"iniii kenapa gua di mute terus siiiii, nyebelin amat si luuu, kokkkk si alii ga di mute siii pilih kasih amatt, diaaa juga suka toxic lohhhh:((((",1,Negatif
Bocahn dongo² dalem gamenyaa,1,Negatif
"hadehh, Makin hari makin lag jaringannya, benerin dulu jaringannya atuh masa pas war langsung lag gak bisa gerak, makin di update makin jelek jaringannya, hadehhhh... udah mau reset season kok makin buruk yaa updatenya? :(",3,Netral
"game bagus tapi system matchmaking busuk, kalah menang udah di settingan dari moonton, tier tinggi dikasih team feeder, kalah sampai beruntun tanpa mikirin player push rank susah payah",1,Negatif
monton celeng,1,Negatif
"Moonton ajg! Gue main magic chess lu kasih pemain dark system, sama aja ngerank tim gblk semua! Sistem muka asu kau moontod taik asu",1,Negatif
Kasih tim tholol trus,2,Negatif
请在卸载Mobile Legends之前观看，新的对手并不困难，因为每个级别总是一个困难的对手,1,Negatif
"Game plagiat, tim tolol tidak masuk akal",1,Negatif
"WOY MOONTOON!!GUA MAEN ML BUAT CARI HIBURAN KENAPA MALAH YANG DAPET EMOSI DI GAME LU JING!LU KALO GA SUKA SAMA GW BILANG.GUA MAEN KENA DARK SISTEM MULU.KALAH MULU GW CARI KESENANGAN BUKAN MALAH MARAH"" LU CARI AJA NIKE:cewe manis PP laki"".liat histori liat.gw komen biar Lo tau kalo Lo diposisi gw.lose Mulu.fckY",1,Negatif
kenapa sih tiap lagi war pasti jaringan trus padahal sinyal bagus ehh tiba tiba kluar game mau login lagi gak bisa padahal kuota banyak,1,Negatif
"Matching ga seimbang, setap menang 3x lngsng d kasi lose 5x. buatin kek khusus buat yang solo biar ga ktemu sama yang mabar nyusahin yng main bner² as solo",1,Negatif
"Munculin skin yz starlight lah, masa diubah aturan Mei ada starlight yz",3,Netral
Gue player lama tapi tolonglah untuk pihak moonton dibenahi lagi mode rank gue slalu lose streak karena slalu dapat player baru set emblem gue semua full level 60 Kalau bisa mode rank nya di sesuaikan jngan asal2an player lama jadi bosan malas on kalau kayak gini terus tidak ada perubahan dalam matching,2,Negatif
"Kalau ngasih tim yang ngotak lah,gwe maen masak ga nambah malah ngurang NGOTAK KONTOLLL!!!",1,Negatif
Team tempek terus dapat apalah,1,Negatif
"Permainan tidak adil,toxic,troll,",1,Negatif
